,stability_sc
BB45CHm0420,0.6769259181967899
BB45CHm0424,0.6057738605969172
BB45CHm0427,0.1709527214181588
BB45CHm0428,0.7875788167942366
BB45CHm0436,-0.03908330842475222
BB45CHm0444,0.844541204235746
BB45CHm0445,-0.16856588499852668
BB45CHm0448,0.08205098949979293
BB45CHm0452,-0.24194573260853863
BB45CHm0453,0.7137741872258963
BB45CHm0455,1.2989101051540775
BB45CHm0457,0.746312950510725
BB45CHm0459,-0.4947729372351848
BB45CHm0463,0.1654377076077438
BB45CHm0469,-0.4717347843192916
BB45CHm0470,0.13187142377697264
BB45CHm0473,0.16526991160734902
BB45CHm0474,0.1623382195718741
BB45CHm0475,1.0334088092468656
BB45CHm0476,-0.0860355632352062
BB45CHm0480,1.2854364673834728
BB45CHm0482,0.6044512766694982
BB45CHm0485,0.059993165806581414
BB45CHm0486,0.9140567029265904
BB45CHm0495,-0.18934479118152592
BB45CHm0496,0.3631249574812283
BB45CHm0498,0.5211109500653408
BB45CHm0504,0.8149064141183162
BB45CHm0505,0.06201399527894153
BB45CHm0506,-0.3116735766997549
BB45CHm0507,0.8986772578799533
BB45CHm0510,0.12933554266859373
BB45CHm0511,0.37093186009291856
BB45CHm0512,-0.005690305248959346
BB45CHm0525,-0.1524829900537069
BB45CHm0526,0.01441664394037678
BB45CHm0527,0.18848434481402287
BB45CHm0528,1.1167891746357461
BB45CHm0533,0.1964132292567625
BB45CHm0536,0.7099475613322374
BB45CHm0541,0.4992044187414814
BB45CHm0543,-0.14628298559638964
BB45CHm0544,0.06212876941234309
BB45CHm0548,-0.46266427453021486
BB45CHm0550,0.7328653801024216
BB45CHm0553,0.5478287840464849
BB45CHm0554,1.5725314765670495
BB45CHm0558,-0.34205537139747527
BB45CHm0559,-0.21763545892500932
BB45CHm0562,0.93138902071321
BB45CHm0564,0.013892002374905323
BB45CHm0566,0.39473021024813343
BB45CHm0567,-0.28903561180913434
BB45CHm0568,-0.08834349606056048
BB45CHm0570,0.2867423668030499
BB45CHm0571,0.5391370819023693
BB45CHm0572,0.031355645971869496
BB45CHm0574,0.9175518833768826
BB45CHm0575,0.0925810548322129
BB45CHm0578,0.7198288526513809
BB45CHm0579,0.5746849000550276
BB45CHm0581,0.1984787749239249
BB45CHm0583,0.02691873523315566
BB45CHm0584,0.20186285898293985
BB45CHm0590,0.30776803352134885
BB45CHm0594,1.0482939333996384
BB45CHm0597,0.2944171277583491
BB45CHm0598,-0.2469314791827754
BB45CHm0599,0.2920536952057283
BB45nHm0000,-0.05621140282818857
BB45nHm0001,-0.2805611640871504
BB45nHm0002,0.2671864160772719
BB45nHm0003,0.24823913780868656
BB45nHm0004,-0.532790809107166
BB45nHm0006,0.18559741160855256
BB45nHm0007,0.8202742926306557
BB45nHm0008,-0.13924286472139227
BB45nHm0011,-0.36504530077916253
BB45nHm0012,-0.2645448523912868
BB45nHm0013,-0.5240054949164896
BB45nHm0014,-0.2865439002115317
BB45nHm0015,0.4115354962229558
BB45nHm0016,-0.2161098254381853
BB45nHm0017,-0.269910014360659
BB45nHm0019,-0.2989208983461882
BB45nHm0020,0.04791655643128392
BB45nHm0021,-0.008593364616554926
BB45nHm0022,0.15526429535237649
BB45nHm0024,0.03232825531482265
BB45nHm0029,-0.08898421585759178
BB45nHm0032,-0.22934726599536315
BB45nHm0033,-0.26758027673015905
BB45nHm0034,0.4484174247204477
BB45nHm0036,1.4000080980239258
BB45nHm0037,0.3898413787022816
BB45nHm0040,0.08362614284136084
BB45nHm0041,0.1640948709069641
BB45nHm0042,-0.05154771902779276
BB45nHm0043,0.2495447441320165
BB45nHm0044,-0.2318375197490673
BB45nHm0045,0.32146797186451276
BB45nHm0046,0.030744814770542202
BB45nHm0048,-0.2097900095287937
BB45nHm0049,-0.1558254106907829
BB45nHm0050,-0.17824340429629915
BB45nHm0051,-0.1839597498533059
BB45nHm0052,-0.0843781151432002
BB45nHm0055,0.07103775379161069
BB45nHm0056,0.16132540448205582
BB45nHm0057,0.7341258727512991
BB45nHm0062,-0.25682816299359323
BB45nHm0063,-0.1625287481878167
BB45nHm0066,0.7567873465381101
BB45nHm0067,-0.005690305248959346
BB45nHm0068,-0.15121919638942244
BB45nHm0071,-0.4403527381362202
BB45nHm0073,-0.244279673433684
BB45nHm0074,-0.3706826466806551
BB45nHm0075,0.7311252349465167
BB45nHm0076,0.1300907815311489
BB45nHm0079,0.11269884073208744
BB45nHm0082,0.05977008010537777
BB45nHm0086,0.6079195510642049
BB45nHm0087,-0.3037109399534774
BB45nHm0088,0.7533478000531014
BB45nHm0091,-0.46910496254563716
BB45nHm0092,-0.18086289239159853
BB45nHm0093,0.4027902016357261
BB45nHm0097,-0.2347030228598138
BB45nHm0098,-0.1805952645231845
BB45nHm0100,0.24833467730826964
BB45nHm0101,0.37544582559841533
BB45nHm0102,1.0880448205002118
BB45nHm0105,-0.3082126900403935
BB45nHm0106,-0.3657178740069409
BB45nHm0107,-0.1400876914132349
BB45nHm0108,-0.18760342226103632
BB45nHm0110,0.147557417839741
BB45nHm0112,1.0972331021715258
BB45nHm0113,0.07591776548846145
BB45nHm0114,0.0176620136437598
BB45nHm0115,-0.026289209928202214
BB45nHm0116,0.419803720224789
BB45nHm0117,0.44004001522097874
BB45nHm0118,-0.0631911527766016
BB45nHm0119,0.870731826266532
BB45nHm0122,0.04093650477314615
BB45nHm0125,1.0413257905949798
BB45nHm0127,-0.07142484566009163
BB45nHm0129,0.12765734911126342
BB45nHm0130,0.738837708660496
BB45nHm0131,-0.432810577543738
BB45nHm0132,0.3912352808829013
BB45nHm0137,1.1646758012473817
BB45nHm0138,-0.0038351077598394005
BB45nHm0139,-0.32584050337721204
BB45nHm0140,0.4772556667955705
BB45nHm0142,1.3121876638665306
BB45nHm0143,-0.2967287859733699
BB45nHm0144,-0.4952657287109986
BB45nHm0145,0.06938246950283727
BB45nHm0146,0.17022951944954032
BB45nHm0147,-0.43665226910592614
BB45nHm0150,-0.223306613520791
BB45nHm0151,0.11450302660191587
BB45nHm0152,0.5395508816566991
BB45nHm0153,-0.03476517932093249
BB45nHm0155,-0.3600266597448589
BB45nHm0156,0.2388341079574482
BB45nHm0157,-0.017499854009930694
BB45nHm0158,-0.4623589732797948
BB45nHm0159,-0.16205537987871077
BB45nHm0160,-0.23776824839484148
BB45nHm0162,-0.413143596542539
BB45nHm0163,-0.33439164090653173
BB45nHm0164,0.006140976798351495
BB45nHm0165,-0.3014404892951982
BB45nHm0166,0.6218219428050067
